18:02:29:120 [main] INFO  c.e.B.BookingApplication - Starting BookingApplication using Java 21.0.7 with PID 20568 (C:\Users\ADMIN\Downloads\BookingApplication\BookingApplication\target\classes started by ADMIN in C:\Users\ADMIN\Downloads\BookingApplication)
18:02:29:123 [main] INFO  c.e.B.BookingApplication - No active profile set, falling back to 1 default profile: "default"
18:02:29:559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
18:02:29:595 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 3 MongoDB repository interfaces.
18:02:29:961 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
18:02:29:970 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
18:02:29:972 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:02:29:972 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
18:02:30:007 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 853 ms
18:02:30:204 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|spring-boot|sync", "version": "5.6.4"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.7+8-LTS-245"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1c30cb85, com.mongodb.Jep395RecordCodecProvider@577bf0aa, com.mongodb.KotlinCodecProvider@7455dacb, EnumCodecProvider{}]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.en0pykp.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zt48hn-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
18:02:30:205 [cluster-ClusterId{value='69be8fded1b93cd011c2e466', description='null'}-srv-cluster0.en0pykp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017 to client view of cluster
18:02:30:222 [cluster-ClusterId{value='69be8fded1b93cd011c2e466', description='null'}-srv-cluster0.en0pykp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017 to client view of cluster
18:02:30:222 [cluster-ClusterId{value='69be8fded1b93cd011c2e466', description='null'}-srv-cluster0.en0pykp.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-aoerbz6-shard-00-02.en0pykp.mongodb.net:27017 to client view of cluster
18:02:30:579 [main] WARN  com.password4j.PropertyReader - bcrypt minor version is not defined. Default value is used (b). Please set property hash.bcrypt.minor in your psw4j.properties file.
18:02:30:579 [main] WARN  com.password4j.PropertyReader - bcrypt rounds are not defined. Default value is used (10). Please set property hash.bcrypt.rounds in your psw4j.properties file.
18:02:30:609 [cluster-ClusterId{value='69be8fded1b93cd011c2e466', description='null'}-ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=234995900, minRoundTripTimeNanos=0, setName='atlas-zt48hn-shard-0', canonicalAddress=ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017, hosts=[ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017, ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017, ac-aoerbz6-shard-00-02.en0pykp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-aoerbz6-shard-00-02.en0pykp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=391, topologyVersion=TopologyVersion{processId=69b855abb14686967b76fdd6, counter=4}, lastWriteDate=Sat Mar 21 18:02:29 IST 2026, lastUpdateTimeNanos=2716486730300}
18:02:30:610 [cluster-ClusterId{value='69be8fded1b93cd011c2e466', description='null'}-ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=234995800, minRoundTripTimeNanos=0, setName='atlas-zt48hn-shard-0', canonicalAddress=ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017, hosts=[ac-aoerbz6-shard-00-01.en0pykp.mongodb.net:27017, ac-aoerbz6-shard-00-00.en0pykp.mongodb.net:27017, ac-aoerbz6-shard-00-02.en0pykp.mongodb.net:27017], passives=[], arbiters=[], primary='ac-aoerbz6-shard-00-02.en0pykp.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=391, topologyVersion=TopologyVersion{processId=69b85ccb4b84e800f9f6512d, counter=3}, lastWriteDate=Sat Mar 21 18:02:29 IST 2026, lastUpdateTimeNanos=2716486730300}
